Name,Location,Behavior,Other Gifts
Ferris,"-10.26413, -71.81938",0.189340067,1
Kerry,"24.15581, -156.95324",-0.0616456084,7
Rajah,"-6.32959, 84.38005",-0.0074097624,6
Nomlanga,"69.61925, 158.70574",0.2820176285,9
Teagan,"64.23927, -86.41069",0.2233018382,4
Kelly,"-65.97942, -125.30936",-0.3927067865,8
Ariana,"-87.5687, 39.67247",-0.093072861,7
Colorado,"-2.03406, 0.83055",-0.2715681241,10
Sade,"74.14717, -24.46119",-0.5366662879,7
Cadman,"22.75469, -31.84182",0.1578213363,7
Charles,"-14.17539, -31.15309",-0.3235722098,1
Sandra,"3.8681, 175.67146",-0.5760594401,7
David,"38.39308, -173.08426",-0.1605346905,4
Kelsey,"-33.74184, -68.88607",0.4051823101,4
Lamar,"-10.6753, -42.64448",0.0543359504,2
Maya,"18.69621, -110.74162",-0.2160351977,7
Teagan,"37.69864, -62.27832",-0.0467522198,8
Amy,"76.04835, 175.20779",-0.0043740436,4
Julie,"-50.34881, 20.17846",-0.7234097654,1
Alisa,"72.80662, 120.71959",-0.1854700386,9
Holly,"-75.04754, 115.82313",-0.1556930821,4
Asher,"65.22954, -135.49447",-0.015689363,6
Raven,"77.52303, -139.10241",0.4335046459,6
Hedley,"41.14441, 56.0621",-0.2945829851,1
Cassidy,"57.68768, 76.64991",0.1408101612,1
Basia,"-43.57254, 3.3632",0.2652622331,7
Cally,"74.73398, -166.35363",0.1458838226,10
Akeem,"24.05413, -123.23002",-0.1330492218,10
Ariana,"65.15682, -104.18188",0.2735903746,1
Faith,"-7.3171, 122.11596",-0.1875115806,1
Ingrid,"-14.39774, -1.60597",-0.1877071922,6
Ian,"-86.11337, 37.15767",0.192711187,4
Quyn,"38.11731, -6.30999",0.2358273978,5
Yen,"-61.08684, 157.05025",0.3222725475,2
Yvette,"-51.17522, -101.73859",0.102905732,4
Wylie,"-35.87693, -111.59725",0.2138287938,6
Keane,"14.88198, -125.46667",0.0510994095,4
Carissa,"33.50818, -177.37479",0.1459135706,8
Wendy,"-44.73877, 63.62632",-0.071104271,3
Isadora,"-46.68314, -36.00745",0.0346481426,7
Deacon,"-51.45731, -76.10506",0.1695847939,3
Louis,"-75.77637, 71.48656",-0.2535620283,1
Nathan,"63.90268, -125.44043",-0.3320749087,9
Fredericka,"33.76867, 153.76785",0.0833314001,10
Warren,"-25.47558, 148.23943",0.2058169145,1
Duncan,"-14.51174, -79.7404",0.3123509557,5
Rogan,"-17.16894, -146.7719",-0.2178499745,9
Kyle,"45.19243, 155.46466",-0.2224138981,3
Martena,"-46.53405, -79.34664",0.1660812215,5
April,"-34.48505, 28.49084",0.0579513213,10
Rinah,"-62.45174, -62.56393",-0.036064572,2
Jada,"68.09862, -93.8576",0.3064633264,10
Nash,"-16.94028, -142.66499",-0.1403133979,3
Arsenio,"-55.91825, -0.80211",-0.1768306137,4
Sydnee,"-59.9282, 165.07943",0.0712007268,3
Noble,"-59.36155, -118.60134",0.20439931,6
Burke,"47.0691, -96.92206",-0.3246685643,9
Adena,"2.38593, 166.13976",0.0483127668,8
Phelan,"68.98403, -115.10182",0.0700797618,10
Declan,"-0.41365, -52.55974",0.0103724744,6
Erich,"-35.33047, 113.01401",-0.6186800985,2
Charity,"-3.62613, 16.34048",-0.1890943309,3
Doris,"-66.08958, -64.03893",-0.200312769,3
Colby,"-73.16272, -131.62566",-0.2197811226,5
Conan,"21.18488, 156.5323",-0.1123095312,10
Adrienne,"-67.55922, 59.53132",0.1187581883,2
Fuller,"29.97344, -22.41515",-0.1396781688,3
Micah,"54.16145, -166.74113",-0.3242891223,4
Vera,"-40.22841, -176.64461",-0.3207990898,3
Quentin,"-24.94996, -46.27953",0.0567540422,3
Sharon,"74.1063, -164.03897",-0.3484808717,2
Oprah,"24.27619, 97.58345",-0.0489162215,7
Kaseem,"-71.95251, -163.54981",0.1576555746,3
Dalton,"-32.97424, -79.45512",-0.1181087198,2
Aimee,"60.10164, -129.95978",0.0568939132,9
Riley,"-82.68772, -8.84891",0.1275360729,9
Maia,"-6.9885, 36.22504",-0.5197058014,5
Zia,"-19.34478, 59.79029",0.2565844854,7
Hadley,"-8.81775, 72.1899",0.3010249867,2
Dylan,"30.39596, -22.32794",-0.3755119432,9
Medge,"75.74551, 114.77103",0.1221704064,9
Cameron,"-8.19737, 106.05217",0.4517483688,1
Arsenio,"-82.22698, -113.91088",0.1284871188,9
TaShya,"-6.65195, -129.75594",0.188745869,1
Otto,"-69.15338, 86.60179",-0.0077576318,4
Idola,"-46.58585, -163.76626",-0.1669263389,1
Nigel,"39.30107, -36.34607",-0.0886950543,9
Dorian,"22.85866, 127.40814",-0.0042706542,7
Lenore,"-45.61397, -136.10626",-0.0404817643,7
Peter,"-29.78412, -99.00337",0.1475655068,5
Ora,"-58.37641, -149.94937",0.078540565,8
Ursa,"67.72521, -139.52057",0.0044606427,4
Chanda,"-33.78488, 95.67283",-0.2625664332,7
Danielle,"-6.91914, 177.84708",-0.2158225963,4
Zorita,"6.06686, -175.24114",-0.1284606069,3
Blaine,"-72.11437, -162.72933",0.0163004734,10
Alea,"6.42572, 17.04764",0.2737375011,10
Logan,"-72.47925, 130.89827",0.182439166,1
Jared,"-66.83156, 126.75351",-0.1001765638,9
Kessie,"42.35569, 75.51679",0.1095583467,2
Camilla,"-85.64137, -116.091",0.0081769766,7
Malcolm,"40.66016, -161.18557",-0.1440979625,8
Ian,"72.52032, -16.83823",0.2247373342,3
Harlan,"-17.50001, 136.19357",-0.271412279,1
Rama,"1.37531, 172.13583",-0.0416978546,7
Jada,"-11.55638, -48.23098",-0.1455601983,6
Sade,"-35.25138, -56.54244",-0.3922801672,9
Linus,"-55.75217, 149.8401",0.1279076071,8
Chase,"72.51675, -25.20308",0.3260833586,9
Rae,"74.36762, 9.63745",-0.0681988724,5
Jamal,"57.13866, 10.14316",0.1018316797,3
Kay,"36.63645, -14.69131",0.1398802107,4
Denton,"-14.10029, 112.53668",-0.0784186686,5
Ima,"87.52603, -32.41723",0.4004738068,1
McKenzie,"-67.08306, 54.40609",-0.0278272705,6
Elvis,"9.83005, -47.10676",0.1983496689,10
Chiquita,"62.0751, -125.00066",-0.681054554,4
Myra,"-46.20978, 18.66986",-0.527742877,1
